iter	Passed	Remaining
2	2177
961	53691	2120
962	53737	2064
963	53782	2008
964	53852	1953
965	53917	1897
966	53959	1841
967	54002	1785
968	54031	1728
969	54065	1672
970	54100	1615
971	54113	1558
972	54150	1502
973	54176	1446
974	54191	1389
975	54225	1333
976	54245	1277
977	54261	1220
978	54302	1164
979	54320	1108
980	54374	1053
981	54401	997
982	54422	941
983	54477	885
984	54501	829
985	54540	774
986	54551	718
987	54561	662
988	54589	607
989	54609	551
990	54629	496
991	54657	440
992	54689	385
993	54723	330
994	54747	275
995	54764	219
996	54783	164
997	54834	109
998	54854	54
999	54886	0
